handle,Is Sybil? (T or F),"Confidence (low, so-so, high)",public_repos,public_gists,followers,following,information_count,account_age,time_since_updated
bhaumik,F,High,23,7,17,7,2,3182 days 05:57:45.504891,82 days 22:28:16.505436
amiic,F,so-so,0,0,0,0,0,248 days 03:50:45.504891,248 days 03:50:45.505436
jupiterr-chen,F,so-so,9,0,0,1,0,3312 days 19:55:48.504891,36 days 10:00:54.505436
gaojianclare,T,High,0,0,0,0,0,152 days 09:16:52.504891,152 days 09:16:52.505436
doublelou,F,Low,14,0,0,0,2,2467 days 16:46:49.504891,44 days 19:08:31.505436
rookie23,F,High,3,0,0,0,0,1463 days 00:45:17.504891,82 days 03:38:31.505436
gmifrfr,T,High,0,0,0,0,0,78 days 00:13:37.504891,44 days 05:09:10.505436
ssyahoo,T,so-so,0,0,0,0,0,238 days 16:09:36.504891,77 days 17:55:58.505436
mapl3sn0w,F,so-so,4,1,2,1,0,1269 days 21:35:52.504891,119 days 01:05:56.505436
phantom5031,T,High,0,0,0,0,0,78 days 08:47:18.504891,78 days 08:47:18.505436
dawsoncn,T,so-so,1,0,0,0,0,1486 days 13:49:11.504891,43 days 19:02:20.505436
roderikkk,F,so-so,1,0,0,0,0,246 days 05:30:02.504891,28 days 12:26:15.505436
zpunketh,T,High,0,0,0,0,0,77 days 09:31:22.504891,77 days 09:31:22.505436
jcarvajalmunera,T,so-so,0,0,0,0,0,268 days 02:35:26.504891,57 days 16:40:08.505436
yimaginst,F,Low,0,0,0,0,0,1480 days 19:36:12.504891,25 days 12:40:33.505436
skq4545,T,so-so,0,0,0,0,0,79 days 14:36:37.504891,79 days 14:36:37.505436
bennybolivar,F,High,3,0,0,1,5,1927 days 06:22:32.504891,1 days 08:55:27.505436
followthecoin7,F,so-so,0,0,0,0,0,890 days 03:21:53.504891,84 days 04:23:23.505436
ethereumgtb,F,so-so,0,0,0,0,0,274 days 06:50:05.504891,70 days 10:39:15.505436
parappa1,F,High,1,0,0,2,0,822 days 17:23:29.504891,122 days 08:58:40.505436
chrisde-a,F,so-so,0,0,0,0,0,94 days 00:16:17.504891,85 days 10:09:04.505436
buyige1991,F,High,0,0,0,0,0,346 days 20:38:00.504891,77 days 08:53:02.505436
fytts,F,so-so,0,0,0,0,0,1507 days 16:21:33.504891,5 days 09:14:05.505436
moxingixiaoma,F,High,0,0,0,0,0,242 days 12:47:06.504891,77 days 09:17:06.505436
13777466266,F,High,7,0,0,0,0,1416 days 18:58:21.504891,17 days 05:40:20.505436
wmike10,F,High,0,0,0,0,0,341 days 01:51:44.504891,19 days 17:14:52.505436
hakank07,F,so-so,0,0,0,0,0,343 days 02:52:56.504891,43 days 07:48:51.505436
jbjknt,T,Low,0,0,0,0,0,1850 days 17:43:32.504891,51 days 06:28:23.505436
keremyapar,F,High,3,0,0,0,0,1520 days 14:49:57.504891,14 days 10:14:52.505436
zjert1016,T,so-so,0,0,0,0,0,1560 days 18:39:52.504891,77 days 05:49:14.505436
drcrypto14,T,High,0,0,0,0,1,77 days 07:34:56.504891,77 days 07:09:00.505436
imnysc,T,High,0,0,0,0,0,77 days 10:39:27.504891,77 days 10:39:27.505436
mayxd,F,High,14,1,7,8,1,1353 days 15:59:45.504891,36 days 16:37:51.505436
grappeape,T,High,0,0,0,0,0,78 days 05:39:19.504891,78 days 05:39:19.505436
owtawa,T,High,0,0,0,0,0,79 days 11:48:00.504891,2 days 12:06:44.505436
fergthh,F,High,6,2,5,4,1,2663 days 19:09:41.504891,31 days 22:11:55.505436
gjmarsha,T,High,0,0,0,0,0,78 days 07:04:07.504891,59 days 03:47:50.505436
metaink2077,F,High,,,,,0,,
mucoozturk,T,High,0,0,0,0,0,91 days 11:11:05.504891,91 days 11:11:05.505436
blackmiaool,F,High,140,31,108,11,4,3049 days 17:38:57.504891,15 days 07:42:10.505436
vincentview,F,so-so,2,0,0,0,1,542 days 18:53:14.504891,77 days 08:05:08.505436
yekongxingle,F,High,10,0,1,19,1,1148 days 19:57:02.504891,0 days 08:49:04.505436
lacrissashontasia58,T,High,0,0,0,0,0,77 days 09:04:05.504891,77 days 09:04:05.505436
slmklc,F,so-so,0,0,0,0,0,775 days 22:57:56.504891,58 days 04:54:17.505436
zemberek82,T,so-so,1,0,0,0,1,256 days 06:34:03.504891,3 days 15:55:16.505436
celir,F,High,6,0,0,0,3,1955 days 20:59:37.504891,77 days 16:20:32.505436
xuchaowen008,T,so-so,0,0,0,0,0,141 days 08:15:35.504891,77 days 12:09:41.505436
rockxie,F,High,9,1,7,3,3,3778 days 16:42:24.504891,77 days 05:54:05.505436
petermoeller1984,T,High,0,0,0,0,0,79 days 06:40:23.504891,79 days 06:40:23.505436
383189580,T,High,2,0,0,0,0,211 days 08:50:17.504891,7 days 20:58:43.505436
markoaamunkajo,T,High,3,0,1,0,0,1015 days 17:05:02.504891,6 days 19:45:24.505436
fatih4402,T,so-so,0,0,0,0,0,256 days 01:44:56.504891,52 days 14:10:21.505436
navarrocol,F,so-so,0,1,0,0,0,319 days 03:48:18.504891,161 days 16:58:30.505436
perstarkse,F,High,9,0,0,0,0,686 days 04:27:15.504891,9 days 09:38:30.505436
pgtjq,T,High,3,0,0,0,0,2003 days 07:01:20.504891,78 days 18:11:02.505436
owocki,F,High,58,5,796,41,6,4089 days 22:48:43.504891,70 days 06:23:28.505436
johniohn,T,High,5,0,0,0,0,233 days 16:57:01.504891,155 days 16:12:14.505436
1lolguy1,T,High,0,0,0,0,0,78 days 22:09:16.504891,78 days 22:09:16.505436
0xgoddess,T,High,0,0,0,0,1,78 days 02:45:47.504891,72 days 02:12:28.505436
robocups,F,so-so,7,1,3,3,2,152 days 02:51:20.504891,12 days 03:00:45.505436
7catss,T,High,0,0,0,0,0,77 days 14:27:51.504891,77 days 14:27:51.505436
jiebaoking,F,so-so,3,0,0,0,1,1645 days 10:48:11.504891,44 days 09:46:56.505436
ssing2,T,High,17,0,4,2,5,2005 days 13:35:58.504891,39 days 12:55:36.505436
haliluya009,T,so-so,1,0,0,0,0,1545 days 06:56:06.504891,44 days 10:08:53.505436
lan658868,T,High,0,0,0,0,0,149 days 10:48:27.504891,61 days 10:46:07.505436
zeptimus,F,High,1,1,0,0,0,461 days 02:36:09.504891,56 days 10:47:26.505436
datsai6550,T,so-so,1,0,0,1,2,93 days 08:26:22.504891,93 days 08:18:49.505436
ahalftooth,T,High,0,0,0,0,0,90 days 01:49:51.504891,90 days 01:49:51.505436
genpo77,T,so-so,0,0,0,0,0,1304 days 22:31:28.504891,22 days 08:32:22.505436
jay7002,F,low,3,1,0,0,0,1465 days 19:04:35.504891,145 days 08:29:14.505436
gyvervick,T,low,0,0,0,0,1,2921 days 17:44:08.504891,78 days 04:58:54.505436
anonymousman9483,T,High,0,0,0,0,0,77 days 12:47:53.504891,77 days 12:47:53.505436
leonrzok,T,High,0,0,0,0,0,77 days 22:37:15.504891,77 days 22:37:15.505436
whateverright,T,so-so,0,0,0,0,0,78 days 09:57:56.504891,63 days 06:29:03.505436
weiyeyan,F,low,0,0,0,0,0,1498 days 15:13:09.504891,50 days 18:47:13.505436
tekima,T,High,2,0,0,0,0,1343 days 20:56:40.504891,77 days 20:41:22.505436
datudou1990,T,High,1,0,0,0,3,90 days 19:30:35.504891,42 days 12:57:47.505436
jerry738,T,High,4,0,1,1,0,294 days 18:01:38.504891,81 days 14:47:38.505436
jasonthewhale,F,so-so,6,0,0,0,3,344 days 19:30:53.504891,5 days 22:27:23.505436
ironpaul,F,low,0,0,0,0,2,503 days 19:08:18.504891,8 days 18:45:49.505436
hakanyk,T,High,0,0,0,0,0,139 days 14:01:51.504891,77 days 15:40:29.505436
myfeir,T,so-so,1,0,0,0,0,163 days 05:17:03.504891,59 days 15:05:08.505436
syahmi2007,T,so-so,0,0,0,0,0,922 days 11:52:51.504891,35 days 06:00:00.505436
liztdefi,F,low,1,0,0,0,0,148 days 22:21:32.504891,148 days 22:19:59.505436
ccnxabc,F,High,15,0,4,1,0,2427 days 22:03:05.504891,63 days 11:52:44.505436
higgszhou,T,so-so,1,0,0,0,0,579 days 12:10:19.504891,77 days 14:52:32.505436
409110763ty,T,High,0,0,0,0,0,77 days 08:49:11.504891,29 days 06:24:25.505436
mars-shen,F,so-so,8,1,3,9,4,3315 days 17:32:23.504891,59 days 15:01:12.505436
zcfrank1st,F,High,425,1,12,48,5,3557 days 20:18:06.504891,0 days 09:30:26.505436
haihanzhang,T,High,0,0,0,0,0,99 days 07:18:27.504891,44 days 06:13:18.505436
htjason9,F,low,1,0,0,0,0,357 days 20:37:30.504891,7 days 12:23:18.505436
kongtou11111,T,so-so,2,0,0,0,0,98 days 18:07:08.504891,98 days 18:03:31.505436
zkingong,T,,1,0,0,0,0,77 days 07:35:22.504891,75 days 19:32:38.505436
