,handle,prediction_score,prediction_confidence,quant_1,quant_2,quant_3,quant_4,quant_5,quant_6,quant_7
0,ulerdogan,0,0.6751916205271902,-0.0572471968533987,0.0513890884265141,0.2399436630905892,0.2432670212422212,2.5357787885434013,0.0314611023035106,-0.0216371104791392
1,slon36,0,0.6637094545570402,0.2958477363267639,0.0513890884265141,-0.0998022752615359,0.0042021799500752,0.6313340806754419,0.5143642395559767,0.1640998409210546
2,hir0zaa,0,0.5751734490975331,-0.2337946634434801,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,0.6313340806754419,-0.6049152992174516,1.6035612142725575
4,MuuJian,0,0.6453696642000002,0.2958477363267639,-0.1700994446701334,-0.0225872892724165,0.1058047374992373,-0.0034808219472112,0.1409452143931386,-0.0448542294041635
6,Exagonportal,0,0.629379558969595,-0.2691041567614963,0.0513890884265141,-0.1306882696571836,-0.0675172724375685,1.2661489832980952,0.4967685786844293,-0.4047195727420392
7,parithosh,0,0.6801745467703033,0.8254901360970079,0.4943661546198092,0.7495625706187771,0.1655709478222738,2.5357787885434013,1.3726414754014526,-0.1028970267167241
8,nbsymn,0,0.5544210696586268,-0.2691041567614963,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.5990500789269358,0.7561363735091726
9,Rezaci,0,0.540871730319491,-0.2337946634434801,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,0.6313340806754419,-0.6792080895639848,0.013188567908397
10,pearsonlucas,0,0.5424896383733325,-0.2691041567614963,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.4240710069265483,-0.4047195727420392
11,6yraJ1tep,1,0.4738124513052786,-0.2691041567614963,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.781849444648011,-0.3931110132795271
12,3flyzhang,0,0.5697615510753136,-0.2691041567614963,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.4661050856752448,-0.3698938943545028
13,fyudimar,0,0.5080598375089772,-0.2691041567614963,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.6987588238657041,-0.4047195727420392
14,renepinnell,0,0.5928231656186873,-0.2337946634434801,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.0034808219472112,0.7792766893442729,-0.3698938943545028
15,ljf201,1,0.49240416219020267,-0.2691041567614963,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.756433490055776,-0.0912884672542119
16,davalb,0,0.6615414670619233,0.7901806427789917,0.0513890884265141,0.3171586490797086,0.2791267474360431,1.9009638859207485,2.951363270265284,-0.4047195727420392
17,fenstann,0,0.6267756613611195,-0.092556690171415,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.0034808219472112,0.3628460487176523,0.3382282328587364
18,connectthu,0,0.5860869623347169,-0.2337946634434801,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,0.6313340806754419,-0.5961174687816779,-0.3815024538170149
19,Tetranome,0,0.5088898924370564,-0.2691041567614963,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.672365332558383,-0.3931110132795271
20,BaojunCZ,0,0.6636227828073141,0.3664667229627965,-0.1700994446701334,0.0391846995188789,-0.0675172724375685,1.9009638859207485,1.3560233512449913,-0.4279366916670634
21,yelimarl,0,0.5080925996303124,-0.2691041567614963,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.6987588238657041,-0.4163281322045513
22,leoandy233,0,0.5476534723890646,-0.2691041567614963,-0.1700994446701334,-0.1306882696571836,-0.0615406514052648,-0.6382957245698645,0.450824353075389,0.3846624707087848
23,NF-Thinker,0,0.6285154622024738,-0.2691041567614963,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.0034808219472112,-0.5335551190161762,-0.3931110132795271
24,dobrinalex,1,0.467383496575581,-0.2691041567614963,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.7847820547932689,-0.4279366916670634
25,OxHimanshu,0,0.6362347950160931,-0.1278661834894312,-0.1700994446701334,-0.0998022752615359,-0.0675172724375685,-0.0034808219472112,-0.0477193716184523,-0.4395452511295755
26,sirecz,0,0.5958389313464059,-0.2691041567614963,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.511071774569199,2.8224599578363296
27,simplepixellife,1,0.48683195688090863,-0.2691041567614963,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.780871907932925,-0.3815024538170149
28,mugrebot,0,0.5972412463088466,0.0839907764186663,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.595139932066592,-0.4163281322045513
29,thorizerftw,0,0.5784054855307934,-0.2691041567614963,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.0034808219472112,-0.6039377625023656,-0.3698938943545028
30,ivanmolto,0,0.6607590090721267,7.569603359838116,3.15222855177958,0.0546276967167027,0.0400619061438971,0.6313340806754419,2.0285686112241343,-0.3815024538170149
31,papa-raw,0,0.6673158301563482,0.04868128310065,-0.1700994446701334,0.0391846995188789,0.0579917692408081,1.2661489832980952,0.4840606013883118,0.6864850167340999
32,ferdoscrypto,0,0.5071958534695095,-0.2691041567614963,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.6880059199997585,-0.3931110132795271
33,luiet,0,0.5620856768711759,-0.2691041567614963,0.0513890884265141,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,1.141942810641165,-0.4047195727420392
34,VideoWiki,0,0.5462709382621318,-0.1631756768074475,-0.1700994446701334,-0.0998022752615359,-0.0675172724375685,-0.6382957245698645,-0.6948486770053602,-0.3466767754294785
35,harshpatel,0,0.6393121962666729,-0.1984851701254638,1.601808820103047,0.7495625706187771,0.0340852851115935,1.9009638859207485,3.055959698779482,-0.3815024538170149
36,toripicklehead35,0,0.6105510186633187,-0.2337946634434801,0.0513890884265141,-0.1306882696571836,-0.0675172724375685,1.2661489832980952,0.1037988192198719,-0.4047195727420392
