twitter_handle,amount_in_usdt,handle,followers
Samiskingsameey,51468.57469676245,samloko,229
travenesia,1710.2974494602504,travenesia,8426
tonytongxue,1592.2003262640308,tonytongxue,429
flashrekt,927.15,flashrekt,7031
markbarrasso,840.0,barrasso,798
Linda_5711,742.3499999999999,linda11man,228
astr0bas3d,690.0,amplice,1005
clemente_DCode,648.8400175998125,dcbuild3r,"[{'code': 50, 'message': 'User not found.'}]"
nicabar,640.5,nicabarnimble,625
llPorZall,525.0,llporzall,2130
sandorreport,500.0,tssandor,2413
0xCharlyfresh,494.8860000000003,charlyfresh,525
defigen,483.42409888342496,ildarman1,1596
gxgexiao,406.1894869590501,bynil,7732
pavlo_baralei,401.73490507602594,prettyfreak,532
iamedwardtay,398.50440000000003,edwardtay,3800
fntupas,336.0,ftupas,182
colinwong771,325.5,snowymaple,148
Poleschuka,321.35588918805746,poleschuka,1296
AlexKatnomov,308.05,montiipilat,291
vincentweisser,292.90000000000003,vincentweisser,3411
Crypto_Lamer,283.5493139894624,cryptolamer,3197
HottieBabeGem,278.6350570962054,hottiebabegem,56327
robot1066,255.49495487375998,robot-cyber,357
cryptobi10,254.625,krzysztof2301,334
rightmantis,252.0,hai-yr,1177
JPS73028701,238.1188337615535,jpsarma,297
mr_stillalive,236.25,mrstillalive,185
sweet123lovely,225.75,mahirsargun,1412
dorio_eth,218.79215367709799,ymo1215,1751
lvbatou123,199.5,guozilialulu,5144
fccxw,189.62088580096196,fccxw,669
nadirachemat,189.0,mashbox77,683
EminemCrypto,188.115958135875,chessmaster2077,953
shuiyuhang,188.11595813587496,bule84,178
Sgmvg6X,185.02610923655774,qiannli,87
Quintus_ssss,173.25000000000003,670312120,196
duffaluffaguss,168.78767631030257,duffaluffaguss,1001
AchmedZaman,164.90646236306029,jdariko45,"[{'code': 63, 'message': 'User has been suspended.'}]"
Congvu163,162.75,vuthecong,183
laochu_eth,160.67794459402876,laochubtc,193
thefrozenfire,157.5,dhaiwat10,124
thefrozenfire,157.5,thefrozenfire,124
dhaiwat10,157.5,dhaiwat10,4456
dhaiwat10,157.5,thefrozenfire,4456
YIN47574925,151.66246239479997,shatdev,"[{'code': 50, 'message': 'User not found.'}]"
aoburuasuyou777,131.25,reefpierre,1860
aoburuasuyou777,131.25,darkdragonzzz,1860
aoburuasuyou777,131.25,yukkysan,1860
libreetheureux,131.25,reefpierre,1676
libreetheureux,131.25,darkdragonzzz,1676
libreetheureux,131.25,yukkysan,1676
darkdragonzzz1,131.25,reefpierre,1721
darkdragonzzz1,131.25,darkdragonzzz,1721
darkdragonzzz1,131.25,yukkysan,1721
nimarazaV,129.3344705112296,sed111,466
BeGoodBoutique,126.0,begood2me,2316
BeGoodBoutique,126.0,cryptowxw,2316
0xooxx,126.0,begood2me,"[{'code': 50, 'message': 'User not found.'}]"
0xooxx,126.0,cryptowxw,"[{'code': 50, 'message': 'User not found.'}]"
bitcoinzhang1,120.75,bitcoinzhang1,34492
_garghimanshu,119.0907118755743,oxhimanshu,122
themoonether,115.0,themoonether,663
ethbenny,110.39519957989735,bennybolivar,298
TheDavidZhou,110.25,daviddzhou,3425
sirapopv,105.0,sirapopv,240
sirapopv,105.0,zachxbt,240
zachxbt,105.0,sirapopv,256083
zachxbt,105.0,zachxbt,256083
cryptovation,100.8,xtasand,"[{'code': 63, 'message': 'User has been suspended.'}]"
by21252059,99.75,byneanea,155
ssup2k,99.28686841782498,ssup2k,269
totomal090202,98.00368180207496,totomal,437
mg,97.65,galligan,33386
