handle,Is Sybil? (T or F),"Confidence (low, so-so, high)",Notes,gitcoin_url,github_url,prediction_score,prediction_confidence,quant_1,quant_2,quant_3,quant_4,quant_5,quant_6,quant_7,Human_preds
mccallj57,F,high,real github commits,https://gitcoin.co/mccallj57,https://github.com/mccallj57,0.0,0.6646638260601232,0.437085709598829,0.0513890884265141,-0.0689162808658881,-0.0675172724375685,-0.6382957245698645,1.7577909411453223,2.636723006436136,0
kovenlyc,F,high,dbank profile,https://gitcoin.co/kovenlyc,https://github.com/kovenlyc,0.0,0.5123904630172353,-0.2691041567614963,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,0.6313340806754419,-0.6860508465695866,-0.2421997402668695,0
daqhris,F,high,personal website with rich info,https://gitcoin.co/daqhris,https://github.com/daqhris,0.0,0.635865315706812,-0.092556690171415,-0.1700994446701334,0.2399436630905892,0.7512798089880315,0.6313340806754419,3.0676901393605136,-0.4395452511295755,0
jaosnzhang8223,T,so-so,,https://gitcoin.co/jaosnzhang8223,https://github.com/jaosnzhang8223,0.0,0.6068460606854265,-0.0219377035353824,-0.1700994446701334,-0.1306882696571836,-0.0615406514052648,-0.6382957245698645,-0.4074528827700869,-0.4163281322045513,1
ntnsndr,F,high,,https://gitcoin.co/ntnsndr,https://github.com/ntnsndr,0.0,0.6723721960238214,0.04868128310065,-0.1700994446701334,-0.084359278063712,-0.0555640303729612,1.9009638859207485,1.9347250865758816,-0.3815024538170149,0
sasicodes,F,high,active github,https://gitcoin.co/sasicodes,https://github.com/sasicodes,0.0,0.6446567498834666,1.213894562595187,-0.1700994446701334,0.2245006658927653,-0.0436107883083539,2.5357787885434013,0.907333999020534,-0.3466767754294785,0
lucandrei,F,high,,https://gitcoin.co/lucandrei,https://github.com/lucandrei,0.0,0.6233067436135795,-0.2337946634434801,-0.1700994446701334,-0.1152452724593598,-0.0555640303729612,1.9009638859207485,0.6561070632434414,-0.3002425375794301,0
alexiskefalas,T,so-so,,https://gitcoin.co/alexiskefalas,https://github.com/alexiskefalas,0.0,0.5749549514700749,-0.2691041567614963,-0.1700994446701334,-0.0998022752615359,-0.0675172724375685,-0.6382957245698645,0.048079226459972,-0.3815024538170149,1
swordboard,T,so-so,,https://gitcoin.co/swordboard,https://github.com/swordboard,0.0,0.5999602254112807,-0.2691041567614963,-0.1700994446701334,-0.1306882696571836,-0.0615406514052648,-0.0034808219472112,-0.4993413339881675,0.3150111139337122,1
frankpeace,T,so-so,,https://gitcoin.co/frankpeace,https://github.com/frankpeace,0.0,0.5111476795692051,-0.2691041567614963,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,0.6313340806754419,-0.7056015808713059,0.2569683166211515,1
xiaoma1643,T,low,meaningless github repo,https://gitcoin.co/xiaoma1643,https://github.com/xiaoma1643,0.0,0.6461866822709232,0.0133717897826337,0.2728776215231617,-0.1152452724593598,-0.0675172724375685,2.5357787885434013,-0.3458680697196712,-0.2421997402668695,1
kaiteevn,T,low,,https://gitcoin.co/kaiteevn,https://github.com/kaiteevn,0.0,0.5441030864589554,-0.2691041567614963,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.4240710069265483,-0.3931110132795271,1
15373146815,T,high,,https://gitcoin.co/15373146815,https://github.com/15373146815,1.0,0.4917487077099799,-0.2337946634434801,-0.1700994446701334,-0.1306882696571836,-0.0675172724375685,-0.6382957245698645,-0.7750066876424093,-0.3118510970419422,1
