handle,twitter_handle,no_followers,no_contributions
mulayimsert,mulayimmsert,146,2
senatorbayo,senator_bayo,1050,3
awoben,awoysbt,312,5
cryptoseaman,Anton84354387,1936,1
ildarman1,defigen,1597,19
milad-1377,Ossun_sas_elama,512,10
aleksmos,CryptoBotan,1530,24
yukkysan,aoburuasuyou777,1859,6
chivarit,ChivaritS,218,2
chukieix,chukie009,371,23
vosinepi,laimas,780,4
elephanttree58,BFF_Campaign,1497,5
abdulramana2,naijacore,115,23
marcalbum,marcvsam,40708,2
realys158,OneYummi,"[{'code': 63, 'message': 'User has been suspended.'}]",11
khrispyshots,khrispy22,228,12
pesconett,Pesconett,97,13
middaydoc,dr_crypto25,610,4
luiandresgonzalez,gonzaluisandres,560,4
daviddzhou,TheDavidZhou,3425,11
siswanto15,SiswantoNotFoun,720,2
pranshu90,money6037,1257,11
pouya-barzegar,dinamyc_,270,32
nykas5,Tuderson1,165,10
prokurator1,1Shupikov,232,1
azimwenn,azimwenn,313,21
x0oo11235oo0x,gratefulhedge,425,5
mettahead,mettahead,1036,8
prettyfreak,pavlo_baralei,532,46
zachxbt,zachxbt,256160,7
irfansanal,0xis_eth,11465,5
konstantin921,yCYpBKsjIAiI3o7,121,2
neqro,ownerr1903,309,6
cakoyo,cakoyo_,555,4
cowbearcowbull,ZenKaiiii,112,19
smacman,smacmannis,987,4
paintball26,Bcpaintball26,2779,3
tuhin12341,MasumAh82119570,4384,11
phiaxee,HABPTEKN1,675,1
cevdetbabacan,babacancevdet,122,3
shatdev,YIN47574925,"[{'code': 50, 'message': 'User not found.'}]",9
igorsmailov,IgorSmailov,374,2
danielesalatti,DanieleSalatti,751,24
evnhsn,evnhsn,9342,6
rao916,imran9166,1171,1
bangpateng,bangpateng_com,4589,31
zico50cent,PromquinPromise,167,13
bulkad,dimaoffshore,456,4
cloutier,IpfsPics,388,5
anitajude,Officialriccom1,315,62
borkfelix,felixschnigges,175,8
auclit,auclit,180,10
skotch1cs,SkotchS_,117,2
spendlove24,spendlove24,"[{'code': 50, 'message': 'User not found.'}]",3
gbenga238,gbengulo1001,182,2
cryptoloss,ythasanpehlivan,277,6
n4nw4ll0p,WPornmanee,331,6
mo386,Mohamma31440842,1286,11
kiarashghasemi,ghassemi_amir,105,2
wilsonchilboy,Wilsonchilboy,"[{'code': 50, 'message': 'User not found.'}]",2
owocki,owocki,74433,6
samannavaie,saman_navaei,136,7
bynil,gxgexiao,7738,13
hotsjf,iphonecake_com,64962,3
gachidahoruo,GachiHoru,571,2
thefrozenfire,thefrozenfire,124,7
resistancee,reesistancee,1730,22
intensevicius,IntenseVicius,151,9
damao5800,damao5800,120,11
allutfiii,allutfiii,344,7
hoftel,invest50498161,255,4
carpgoth,jomolos,1717,23
saniaus,GendengWira,175,31
galligan,mg,33388,12
rahul7967,rahulsh7967,258,2
cpearls,BitL0gic,101,4
fringe13,orcmrj,372,2
gigidinizza,rulionissa,2343,2
azadazizipoor,2022crypto,131,3
qijinzing,Akafivon,625,3
tukangnyasar,gilang84071026,"[{'code': 50, 'message': 'User not found.'}]",29
dhaiwat10,dhaiwat10,4461,3
hull1987,hululei1987,126,13
oloyetemitope,ayoadeEl,395,19
deodivine,deodivine1,3961,18
takgod1,VET_Mystic,278,8
sweetie77,Gots25764756,473,6
leonardo24072020,freelanceser,161,2
fabunmiegbe,Fabunmitemitop4,"[{'code': 63, 'message': 'User has been suspended.'}]",3
songbbhol,songbbhol,462,41
mahan1397rahimi,Omidrah92878946,248,16
huulinh9610,LinhDinhHuu1,127,41
erfanmb169,mohebbi_erfan,512,13
mhizadore,DJussiat,155,31
edwinosky,Edwin0x0,625,7
teebsio,teebsio,20000,5
saeid373,SaeedAtaee11,160,7
barrasso,markbarrasso,798,6
frllzwrtmn,relzdrops0x,1206,12
noppadone99,Ployrompetch,109,3
rinran1111,pancakebunny713,158,3
d1menik,m0xhnee,122,5
narbs91,narb_s,978,1
jhonny-shi,ShiJhonny,140,5
bhargavivkothari,BhargaviKothari,1514,7
takatpur2018,jueeusa,282,2
selaslan72,Kripto_maniac,537,4
ebencarl,Ebencarl2,202,27
admiralspook,admiralspook,407,12
jamesyou1,laoyouzi123,136,12
gravenp,gravenprest,278,6
zhaozhmo,cryptomomo6,179,2
galchellemi,Galchellemi,"[{'code': 50, 'message': 'User not found.'}]",7
tonkimthinh76707,thanhnganhoang1,631,12
iroksox,iheartstonks,915,2
qq1463917242,longwanxing,50,36
cat1879,youyu1879,646,2
anhtuan90,EpThuan,129,18
t1213121okok,t1213121okok,395,4
nickbax,bax1337,2108,6
roocat2021,bitcoin_zl,263,6
vantoanpaya,toancryptobg,548,6
deeeeeo,svip_888,2228,20
mariyalabonita,mariahvirtmimi,263,27
damianosieka,damiano_sieka,209,3
rahul-dev9041,Rahul31760725,130,16
o4051253129,zacksxxxx,221,18
frankcryptra,frank_cryptra,291,10
6yeey,6yeey6,143,29
hottiebabegem,HottieBabeGem,56378,50
rosuva,RJHT0312,267,30
cg771106051,hi_dollars_army,"[{'code': 50, 'message': 'User not found.'}]",12
b-xyzz,B_xyzZ,98,18
jkdc3kdia,TuPan3,178,31
tonylee101,siroatz,168,2
arnob123,Arnobrazz_,334,10
koushikherle,koushikkherle,2000,32
seoserch,seoserch,2270,5
shamim06,Shamim066,2786,8
mykey222,zjk41341134,141,6
feiyulc,Fiyu555599,537,30
h134164678,eth_yinger,121,13
montiipilat,AlexKatnomov,291,11
theyavuzarslan,theyavuzarslan,312,22
kaselol,quiniyedios,204,40
onlooker12138,ermao1314,140,2
duffaluffaguss,duffaluffaguss,1002,18
roweyna,wang97915540,166,12
safigee,chakka_choka007,"[{'code': 50, 'message': 'User not found.'}]",11
benlakoff,benlakoff,5491,24
omgbenido,OMGBenido,342,13
btcmars,haibtc321,182,4
dangokun,mrphnft1,2883,12
mocao3813059,mocao3813059,147,2
hjainrock,Hjainrock,232,2
mahirsargun,sweet123lovely,1414,74
melca14,mj141986,430,10
reefpierre,libreetheureux,1676,6
capkoin,cappyz,645,2
sourabupadhya123,sourab_upadhyay,207,2
atanu25,Atanu252,113,11
blaziken11,blaziken9611,106,12
kryptofan,GsiPrzemek,143,2
chaos6174,chaos6174,"[{'code': 50, 'message': 'User not found.'}]",10
cryptowxw,0xooxx,"[{'code': 50, 'message': 'User not found.'}]",9
liuchaojin211,liuchaojin211,148,7
cow8772,cow87702,246,10
aslobodnik,alexslobodnik,597,2
coinmind,TED71608815,514,32
flashrekt,flashrekt,7031,8
bentosetc,digginard,122,13
cryptowpanda,cryptowpanda,"[{'code': 50, 'message': 'User not found.'}]",5
bizalog,Biubiuakita,236,35
you-8888,youyou46323582,117,8
allyhernandez,ahhsun_,285,5
vittawac,vittawac,216,2
ivandubr,Sonya_BladeBer,2254,2
qingfengzhibi,jamesbondcn,56,4
hehe2046,01MetaMan,300,4
jack199022,cryptork3,136,11
salman5254,salman53189747,121,11
senevrensel,partyguy_07,319,7
sanmishen001,sanmishen,111,12
haibtc123,haibtc123,401,37
zznatzz,CryptoC03744021,546,32
legendggdd,Legend32176016,130,36
lehoangha45335,candyloan7,284,6
tomisrelad,baodaxing,261,30
cryptorss,RiteshShrikant,6234,5
ftupas,fntupas,182,17
bachtiar58,bachtiar58_,443,20
farukomar7276,farukomar7569,159,2
balanlau,AdamLau_eth,130,3
mech100,Frozenjok,6408,2
molmol03,Hannasoriano10,256,3
mikebat01,mikebat01,127,42
wjdfx,hi_bitcoin,127,5
yaelahrip69,lordnobita7,"[{'code': 50, 'message': 'User not found.'}]",10
benpercifield,penbercifield,1283,2
gagansingla87,Gagansingla87,152,4
igglepiggle00,salaam4321,224,1
neosfusion08,guraa008,141,2
kevinmechalister,Cryptodabell,159,9
naijaguy234,jaysmyle,9697,4
mhaira05,miragreats,11646,12
libby08,libbychou,7089,20
azerinvest,azerinvest1,120,2
