handle,Is Sybil? (T or F),"Confidence (low, so-so, high)",public_repos,public_gists,followers,following,information_count,account_age,time_since_updated,trust_bonus,is_brightid_verified,is_duniter_verified,is_twitter_verified,is_poap_verified,is_ens_verified,is_google_verified,is_facebook_verified,is_poh_verified,is_idena_connected,is_idena_verified
bhaumik,FALSE,High,23,7,17,7,2,3182 days 05:57:45.504891,82 days 22:28:16.505436,1.5,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
amiic,FALSE,so-so,0,0,0,0,0,248 days 03:50:45.504891,248 days 03:50:45.505436,1.5,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
jupiterr-chen,FALSE,so-so,9,0,0,1,0,3312 days 19:55:48.504891,36 days 10:00:54.505436,1.25,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
gaojianclare,TRUE,High,0,0,0,0,0,152 days 09:16:52.504891,152 days 09:16:52.505436,0.9,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
doublelou,FALSE,Low,14,0,0,0,2,2467 days 16:46:49.504891,44 days 19:08:31.505436,0.65,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
rookie23,FALSE,High,3,0,0,0,0,1463 days 00:45:17.504891,82 days 03:38:31.505436,0.95,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
gmifrfr,TRUE,High,0,0,0,0,0,78 days 00:13:37.504891,44 days 05:09:10.505436,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ssyahoo,TRUE,so-so,0,0,0,0,0,238 days 16:09:36.504891,77 days 17:55:58.505436,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
mapl3sn0w,FALSE,so-so,4,1,2,1,0,1269 days 21:35:52.504891,119 days 01:05:56.505436,0.65,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
phantom5031,TRUE,High,0,0,0,0,0,78 days 08:47:18.504891,78 days 08:47:18.505436,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
dawsoncn,TRUE,so-so,1,0,0,0,0,1486 days 13:49:11.504891,43 days 19:02:20.505436,0.65,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
roderikkk,FALSE,so-so,1,0,0,0,0,246 days 05:30:02.504891,28 days 12:26:15.505436,1.05,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
zpunketh,TRUE,High,0,0,0,0,0,77 days 09:31:22.504891,77 days 09:31:22.505436,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
jcarvajalmunera,TRUE,so-so,0,0,0,0,0,268 days 02:35:26.504891,57 days 16:40:08.505436,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
yimaginst,FALSE,Low,0,0,0,0,0,1480 days 19:36:12.504891,25 days 12:40:33.505436,1.5,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
skq4545,TRUE,so-so,0,0,0,0,0,79 days 14:36:37.504891,79 days 14:36:37.505436,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
bennybolivar,FALSE,High,3,0,0,1,5,1927 days 06:22:32.504891,1 days 08:55:27.505436,1.5,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
followthecoin7,FALSE,so-so,0,0,0,0,0,890 days 03:21:53.504891,84 days 04:23:23.505436,0.65,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ethereumgtb,FALSE,so-so,0,0,0,0,0,274 days 06:50:05.504891,70 days 10:39:15.505436,0.9,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
parappa1,FALSE,High,1,0,0,2,0,822 days 17:23:29.504891,122 days 08:58:40.505436,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
chrisde-a,FALSE,so-so,0,0,0,0,0,94 days 00:16:17.504891,85 days 10:09:04.505436,1.3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
buyige1991,FALSE,High,0,0,0,0,0,346 days 20:38:00.504891,77 days 08:53:02.505436,1.15,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
fytts,FALSE,so-so,0,0,0,0,0,1507 days 16:21:33.504891,5 days 09:14:05.505436,1.35,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
moxingixiaoma,FALSE,High,0,0,0,0,0,242 days 12:47:06.504891,77 days 09:17:06.505436,1.5,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
13777466266,FALSE,High,7,0,0,0,0,1416 days 18:58:21.504891,17 days 05:40:20.505436,1.5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
wmike10,FALSE,High,0,0,0,0,0,341 days 01:51:44.504891,19 days 17:14:52.505436,1.5,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
hakank07,FALSE,so-so,0,0,0,0,0,343 days 02:52:56.504891,43 days 07:48:51.505436,0.65,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
